"age","gender","foot_length","height"
4.16666666666667,"female",163,103.3
4.25,"male",163,103.9
4.41666666666667,"female",171,111.2
3.83333333333333,"female",163,99.7
3.41666666666667,"female",167,99.7
3.66666666666667,"male",164,98.7
3.33333333333333,"male",150,94.1
3.58333333333333,"female",150,93.3
5.5,"female",175,116.4
5.16666666666667,"female",172,110
4.83333333333333,"female",177,109.4
13.5,"female",235,149.3
13.6666666666667,"female",250,157.8
13.9166666666667,"female",243,161.8
13.3333333333333,"female",230,157.7
13.3333333333333,"female",232,146.8
12.5,"female",241,156.3
12.5833333333333,"female",238,156
12.3333333333333,"female",234,152.8
13.8333333333333,"female",227,148.5
12.8333333333333,"female",219,145.1
12.75,"female",235,157.6
11.9166666666667,"female",232,149.4
12.6666666666667,"female",216,139.9
12.75,"female",233,143.9
12.0833333333333,"female",260,152
14.4166666666667,"male",268,168.7
13.5,"male",NA,174.2
12.0833333333333,"male",247,154.1
12.1666666666667,"male",245,158.9
13.75,"male",250,155.8
12.25,"male",245,158.8
12.9166666666667,"male",248,155.6
13.3333333333333,"male",271,167.5
14.1666666666667,"male",237,153.3
13.4166666666667,"male",249,154.4
13.5,"male",254,159
13.8333333333333,"male",263,161.8
13.6666666666667,"male",261,165
14.25,"male",226,138.8
12.9166666666667,"male",256,162.2
13.6666666666667,"female",230,151.4
12.8333333333333,"female",246,155.6
13.9166666666667,"female",233,154.4
13.5833333333333,"female",235,155
12.5833333333333,"male",212,144.3
13.5833333333333,"male",259,175.8
13.9166666666667,"male",278,168.3
13,"male",272,171.2
12.0833333333333,"female",225,142.2
12.1666666666667,"female",250,154.2
12.6666666666667,"female",213,144.7
10.0833333333333,"male",231,144.2
10,"male",214,136.3
5.91666666666667,"male",178,114
6.5,"male",188,120.6
11.6666666666667,"male",240,147
5.75,"male",176,112.1
5,"male",169,106.1
8.75,"male",211,130.5
9.08333333333333,"male",216,136.7
10,"male",201,130.4
7.25,"male",188,120.8
6.83333333333333,"male",209,120.4
11.1666666666667,"female",205,138.3
8.66666666666667,"female",222,140.3
8.16666666666667,"female",199,131.9
7.16666666666667,"female",186,119.1
7.66666666666667,"female",197,125
8.83333333333333,"female",189,125.3
8.41666666666667,"female",208,133.2
7.5,"female",185,118.2
7.33333333333333,"female",195,128
11.9166666666667,"female",228,148
5,"female",173,108.7
6.75,"female",198,123.4
6.75,"female",204,126.7
4.91666666666667,"female",166,114.5
8.33333333333333,"female",179,111.5
8.75,"female",188,126.4
8.83333333333333,"female",201,136.6
8,"female",193,123.9
11.3333333333333,"female",230,149.8
9.66666666666667,"female",204,127.2
10.4166666666667,"female",216,143.3
11.4166666666667,"female",241,150.8
12.1666666666667,"female",245,150.6
10.6666666666667,"male",218,140.1
10.5,"male",238,144.9
9.75,"male",219,138
10,"male",232,136.5
10.6666666666667,"male",232,139.8
12.9166666666667,"male",225,137.5
11.3333333333333,"male",228,148
12.1666666666667,"male",253,149
11.1666666666667,"male",234,144.3
11,"male",257,154.6
11.6666666666667,"male",252,148.7
11.8333333333333,"male",227,145.2
11.8333333333333,"male",225,153.2
9.66666666666667,"female",213,133.5
9,"female",204,129.2
9.75,"female",220,136.6
10.0833333333333,"female",233,150.3
10.5833333333333,"female",248,156.7
