DateTime,Tair,AirPress,RH,VPD,PAR,Rain,wind,winddirection
1/1/2008 0:00,16.54,101.7966695,93.3,0.126564345,0,0,0,152.6
1/1/2008 0:30,16.45,101.7700012,93.9,0.114572294,0,0,0,166.7
1/1/2008 1:00,16.44,101.7299988,94.2,0.108868277,0,0,0,180.2
1/1/2008 1:30,16.41,101.6999969,94.5,0.103040192,0,0,0,180.2
1/1/2008 2:00,16.38,101.6999969,94.7,0.09910379,0,0,0,180.2
1/1/2008 2:30,16.23,101.6999969,94.7,0.098161112,0,0,0,180.2
1/1/2008 3:00,16.09,101.6966637,95,0.091781502,0,0,0,180.2
1/1/2008 3:30,16.15,101.6933304,95.1,0.090290892,0,0,0,180.2
1/1/2008 4:00,15.89,101.6899971,95.2,0.086991821,0,0,0,180.2
1/1/2008 4:30,15.59,101.6966637,95.4,0.081781834,0,0,0,180.2
1/1/2008 5:00,15.33,101.6999969,95.4,0.080429365,4.966666667,0,0,180.2
1/1/2008 5:30,15.65,101.6999969,95.6,0.07852734,51.33333333,0,0,180.3
1/1/2008 6:00,17.01,101.6999969,95.4,0.089526755,194.5,0,0,104.3
1/1/2008 6:30,18.38,101.6999969,94.1,0.125184775,351.8666667,0,0.002,131
1/1/2008 7:00,20.34,101.7366659,85.7,0.342773967,531.5,0,0.072,126.3
1/1/2008 7:30,22.54,101.793336,73.1,0.737809257,702.3666667,0,0.058,139.9
1/1/2008 8:00,24.08,101.7600006,66.96,0.994529919,849.3333333,0,0.216,208.3
1/1/2008 8:30,24.03,101.7299988,66.34,1.010155109,1047.766667,0,0.786,212.9
1/1/2008 9:00,25.13,101.7199982,61.07,1.247757276,1205.333333,0,0.463,161.6
1/1/2008 9:30,25.64,101.6999969,58.21,1.38065442,1320.366667,0,0.746,236.5
1/1/2008 10:00,26.33,101.6966637,53.29,1.607520662,1493,0,0.883,225.3
1/1/2008 10:30,26.63,101.6799973,53.02,1.645665836,1569.133333,0,0.842,240.9
1/1/2008 11:00,26.87,101.6099983,52.94,1.671913209,1504.533333,0,0.867,240.7
1/1/2008 11:30,27.6,101.5999985,50.77,1.825489374,1581.833333,0,1.092,263.1
1/1/2008 12:00,27.52,101.5499992,50.59,1.823611214,1537.1,0,1.68,239.5
1/1/2008 12:30,28.38,101.5,48.94,1.98143458,1736.933333,0,1.266,199.9
1/1/2008 13:00,28.66,101.476667,47.44,2.073079516,1668.7,0,1.106,231.8
1/1/2008 13:30,28.93,101.4033348,46.09,2.159859659,1689.233333,0,1.236,133.1
1/1/2008 14:00,29.3,101.3966682,43.49,2.312980342,1583.3,0,1.562,167.1
1/1/2008 14:30,29.65,101.3500023,40.71,2.476241232,1484.8,0,1.097,220.4
1/1/2008 15:00,30.13,101.3033363,41.05,2.530922786,1358.733333,0,1.034,191
1/1/2008 15:30,30.04,101.3000031,42.01,2.476877376,1216.133333,0,1.449,213.3
1/1/2008 16:00,30.32,101.2966695,40.94,2.563423238,1053.9,0,1.165,225
1/1/2008 16:30,30.29,101.2800018,40.64,2.572018469,881.5333333,0,1.401,205.5
1/1/2008 17:00,29.82,101.2600006,40.8,2.496791358,550.5666667,0,1.686,204.3
1/1/2008 17:30,28.81,101.2766683,49.45,2.011216276,588.1333333,0,1.967,212.6
1/1/2008 18:00,27.67,101.3000031,54.49,1.694468034,387.2333333,0,1.883,174.8
1/1/2008 18:30,26.43,101.3066696,58.1,1.450518536,204.6,0,1.815,229.2
1/1/2008 19:00,24.8,101.3800018,63.88,1.135133019,52.06666667,0,1.503,255.2
1/1/2008 19:30,23.59,101.4233345,68.75,0.913332153,4.133333333,0,0.917,217.1
1/1/2008 20:00,22.88,101.4966667,70.4,0.828782308,0,0,1.257,289.6
1/1/2008 20:30,22.34,101.5333328,70.7,0.793925674,0,0,1.042,299
1/1/2008 21:00,21.94,101.5999985,72.2,0.735146234,0,0,0.582,307
1/1/2008 21:30,21.21,101.5999985,75.8,0.611993156,0,0,0.039,313.6
1/1/2008 22:00,20.47,101.5999985,79.1,0.505014049,0,0,0,317.2
1/1/2008 22:30,19.08,101.5999985,86.1,0.308123372,0,0,0,314.8
1/1/2008 23:00,18.21,101.5933319,89.7,0.216224266,0,0,0,210.9
1/1/2008 23:30,18.26,101.5533325,91.2,0.185316014,0,0,0,210.8
1/2/2008 0:00,18.03,101.5,91.7,0.172279614,0,0,0,210.8
1/2/2008 0:30,18.09,101.5,92.3,0.160429569,0,0,0,186.7
1/2/2008 1:00,18.61,101.5,92.6,0.1592901,0,0,0,186.7
1/2/2008 1:30,18.64,101.4366676,92.6,0.159589448,0,0,0,193.9
1/2/2008 2:00,18.44,101.4000015,92.7,0.155473308,0,0,0,240.6
1/2/2008 2:30,18.23,101.4000015,92.9,0.149235054,0,0,0,240.6
1/2/2008 3:00,17.6,101.4000015,93.2,0.137373896,0,0,0,182.8
1/2/2008 3:30,17.1,101.4000015,93.8,0.12135641,0,0,0,77.3
1/2/2008 4:00,16.65,101.4000015,94.2,0.110332036,0,0,0,167.3
1/2/2008 4:30,16.41,101.4000015,94.7,0.099293276,0,0,0,231.6
1/2/2008 5:00,16.43,101.4000015,94.8,0.097543932,3.7,0,0.003,183
1/2/2008 5:30,16.57,101.4000015,95,0.09463137,38.73333333,0,0.004,134.6
1/2/2008 6:00,17.24,101.4000015,95,0.098739106,91.73333333,0,0,102.8
1/2/2008 6:30,18.33,101.4333344,94.7,0.112102052,227.8,0,0.162,257.3
1/2/2008 7:00,19.76,101.4900002,93,0.161874085,403.1,0,0.024,196.8
1/2/2008 7:30,21.37,101.5,84.9,0.385628341,550.5,0,0.05,150.7
1/2/2008 8:00,23.16,101.5,72.3,0.788837447,712.8,0,0.305,218.9
1/2/2008 8:30,23.41,101.5,69.23,0.889595547,823.7,0,0.23,189.2
1/2/2008 9:00,24.71,101.4933334,59.52,1.265333242,1237.466667,0,0.371,242.7
1/2/2008 9:30,25.31,101.4400009,52.48,1.539483516,1276.133333,0,0.687,144.5
1/2/2008 10:00,25.71,101.4033348,54.8,1.499527185,1480.466667,0,0.915,223.4
1/2/2008 10:30,26.8,101.4000015,52.82,1.669290949,1807.133333,0,0.847,193.3
1/2/2008 11:00,27.13,101.3866684,53.35,1.682849683,1897.966667,0,1.293,231.6
1/2/2008 11:30,27.71,101.3133362,51.55,1.808153847,1974.533333,0,1.299,158.9
1/2/2008 12:00,28.01,101.3000031,50.19,1.891739876,1998,0,1.506,269.4
1/2/2008 12:30,28.93,101.2466665,46.87,2.128609603,2010.9,0,1.105,238.5
1/2/2008 13:00,28.71,101.1999969,46.36,2.121821489,1832.033333,0,1.824,231.6
1/2/2008 13:30,29.3,101.1966637,44.69,2.263863789,1782.7,0,1.594,256.9
1/2/2008 14:00,29.49,101.1733307,43.27,2.34757947,1490.7,0,1.566,260.1
1/2/2008 14:30,29.74,101.1166649,41.19,2.468953094,1529.9,0,1.396,266
1/2/2008 15:00,29.95,101.0999985,43.15,2.415664888,1549.866667,0,1.731,247.8
1/2/2008 15:30,30.02,101.0933319,44.08,2.385721587,1359.8,0,1.581,268.9
1/2/2008 16:00,29.69,101.0766655,47.1,2.214457899,1216.633333,0,1.976,226.4
1/2/2008 16:30,29.35,101.0533325,51.18,2.004000948,1002.433333,0,2.102,247.8
1/2/2008 17:00,28.61,101.0366661,53.82,1.816162042,750.2333333,0,2.522,287.3
1/2/2008 17:30,27.69,101.0833321,55.52,1.658054829,499.9666667,0,2.264,277.4
1/2/2008 18:00,27.06,101.0999985,55.61,1.594757246,398.6,0,2.187,252.6
1/2/2008 18:30,25.92,101.1733307,58.63,1.389650637,176.8666667,0,1.569,289
1/2/2008 19:00,24.97,101.1999969,61.08,1.235598399,70.3,0,1.322,303.1
1/2/2008 19:30,23.83,101.2600006,63.94,1.06925012,3.233333333,0,0.93,282.9
1/2/2008 20:00,23.2,101.3000031,66.43,0.9583168,0,0,0.049,299.4
1/2/2008 20:30,22.45,101.3166695,69.55,0.830623649,0,0,0.031,280.6
1/2/2008 21:00,22.04,101.3566689,72.7,0.726340778,0,0,0.42,300
1/2/2008 21:30,21.55,101.4000015,76.3,0.611966335,0,0,0.049,316.4
1/2/2008 22:00,20.78,101.4000015,79.8,0.49751464,0,0,0,305.7
1/2/2008 22:30,19.48,101.4000015,85.1,0.338620528,0,0,0,17.83
1/2/2008 23:00,18.84,101.4000015,89.1,0.238029097,0,0,0,17.61
1/2/2008 23:30,18.8,101.4266678,90.5,0.206938647,0,0,0,30.22
1/3/2008 0:00,19.02,101.4466675,91.4,0.189925311,0,0,0,167.6
1/3/2008 0:30,19.38,101.4133347,91.6,0.189716509,0,0,0,167.5
1/3/2008 1:00,19.3,101.4000015,91.7,0.186526909,0,0,0,167.5
1/3/2008 1:30,18.73,101.4000015,91.8,0.177840772,0,0,0,167.5
1/3/2008 2:00,18.34,101.4000015,92.5,0.158734512,0,0,0,167.6
1/3/2008 2:30,17.98,101.4000015,93.2,0.140701659,0,0,0,167.6
1/3/2008 3:00,18.53,101.4000015,93.6,0.137076105,0,0,0,167.6
1/3/2008 3:30,18.82,101.4066681,93.5,0.141766682,0,0,0,167.5
1/3/2008 4:00,18.26,101.4433342,93.7,0.132669419,0,0,0.003,178
